comment,cleaned_comment,lang
​ @johanesbaptista894  Gw gak sekolah tinggi tapi nggak kawatir 😅 gass terus menciptakan lapangan kerjaan karena gw pengusaha,johanesbaptista  gw gak sekolah tinggi tapi nggak kawatir  gass terus menciptakan lapangan kerjaan karena gw pengusaha,id
"Menyala saham ku, merah semua",menyala saham ku merah semua,id
Udah serius saya baca😂ternyata,udah serius saya bacaternyata,id
😂 tkesan omon omon..dan malahan lbh halu ya gak seh 😢,tkesan omon omondan malahan lbh halu ya gak seh,id
"Karakter kang joged, abis wawancara jogedin aja? Gitu gak ya? Mudah-mudahan an nggak...",karakter kang joged abis wawancara jogedin aja gitu gak ya mudahmudahan an nggak,id
​ @mandirifarm2211 kok salah klo demokrasi ini suara oposisi,mandirifarm kok salah klo demokrasi ini suara oposisi,id
"Kamu ga sendiri, yang khawatir se Indonesia 😅",kamu ga sendiri yang khawatir se indonesia,id
"Bapak Presiden yg terhormat, ijinkan kami menyampaikan keluh kesah saya sebagai petani padi. Tahun ini panen kami termasuk gagal panen akibat curah hujan tinggi dan angin kencang pada malam hari yg meny bahkan ambruk dan hama putih bapak Presiden, namun kegagalan ini masih blm selesai bapak Presiden. Harga gabah ketan tahun kemarin 7.400 per kilo saat ini 4.700 per kilo, apakah ini mampu mensejahterakan petani kita bapak Presiden.",bapak presiden yg terhormat ijinkan kami menyampaikan keluh kesah saya sebagai petani padi tahun ini panen kami termasuk gagal panen akibat curah hujan tinggi dan angin kencang pada malam hari yg meny bahkan ambruk dan hama putih bapak presiden namun kegagalan ini masih blm selesai bapak presiden harga gabah ketan tahun kemarin  per kilo saat ini  per kilo apakah ini mampu mensejahterakan petani kita bapak presiden,id
Sangat mewah rumah nya .pak wowo😅,sangat mewah rumah nya pak wowo,id
Wkwkwk ngakak tapi bener,wkwkwk ngakak tapi bener,id
"Ini sih Indonesia Pasti Bubar cepat atau lambat, jika presidennya seperti ini..🥴",ini sih indonesia pasti bubar cepat atau lambat jika presidennya seperti ini,id
"Coba pa jalan ke kalimantan penuh danau tambang, semua tanah di jgo perkebunan kelapa sawit, kita cuma jd buruh perusahaan di kampung sendir, mau bertani bikin usaha sendiri tanah yang sdh lenyap,,,,, saya pastikan klo sistem begini sampai anak cucu kita jadi buruh,,,,,,,,",coba pa jalan ke kalimantan penuh danau tambang semua tanah di jgo perkebunan kelapa sawit kita cuma jd buruh perusahaan di kampung sendir mau bertani bikin usaha sendiri tanah yang sdh lenyap saya pastikan klo sistem begini sampai anak cucu kita jadi buruh,id
Asli kang bener pisan sugan teh deuk gagah ai pek teh indonesia gelap,asli kang bener pisan sugan teh deuk gagah ai pek teh indonesia gelap,id
Sdm dulu pak🎉,sdm dulu pak,id
"PADAHAL, SESUNGGUHNYA YANG PLING PENTING DIBERESKAN ADALAH MENARIK SEMUA ASET PARA KORUPTOR SAMPAI KE AKAR-AKARANYA, HENTIKAN DULU KIRUPSI, YANG LAINNYA DGN SENDIRINYA IKUT MENJADI LEBIH BAIK. PASTI,!!!!",padahal sesungguhnya yang pling penting dibereskan adalah menarik semua aset para koruptor sampai ke akarakaranya hentikan dulu kirupsi yang lainnya dgn sendirinya ikut menjadi lebih baik pasti,id
​ @SitiMaysarah-wi7vk  makanya berTuhan biar tidak khawatir! Bencinya dikurangi biar gak gelisah hidup lu! Optimis di dahulukan biar maju hidup lu! Siti siti jadi manusia begitu banget😭,sitimaysarahwivk  makanya bertuhan biar tidak khawatir bencinya dikurangi biar gak gelisah hidup lu optimis di dahulukan biar maju hidup lu siti siti jadi manusia begitu banget,id
Menyalaaa,menyalaaa,id
Jawabannya ngegantung semua,jawabannya ngegantung semua,id
"jangan spill hasil lah ngab, gw mau nonton dulu, biar ada kejutan gitu loh. btw gw udah kerja dan gak nganggur",jangan spill hasil lah ngab gw mau nonton dulu biar ada kejutan gitu loh btw gw udah kerja dan gak nganggur,id
